SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) SigmaR SigmaEta NrPx NrPxTot Radius(px) Eta(degrees)
159 47434.658522 -0.750000 1402.999858 188.000293 3750.000000 -0.750000 -0.750000 9.119593 0.229773 45.000000 45.000000 916.905886 155.447443
160 47483.268024 -5.000000 611.000155 202.000292 3750.000000 -5.000000 -5.000000 8.766347 0.526648 45.000000 45.000000 917.235190 -153.379078
161 47076.000500 -5.000000 1494.999444 1046.999952 3750.000000 -5.000000 -5.000000 8.196977 0.185649 45.000000 45.000000 473.659658 86.974499
162 47076.000276 -5.000000 1494.999444 997.000048 3750.000000 -5.000000 -5.000000 7.729267 0.185649 45.000000 45.000000 473.659658 93.025501
163 47535.157956 -6.000000 1400.999800 341.000343 3750.000000 -6.000000 -6.000000 9.185990 0.112727 45.000000 45.000000 779.359597 150.902553
164 47075.998570 -6.750000 1799.999656 1013.000007 3750.000000 -6.750000 -6.750000 3.442483 0.592498 45.000000 45.000000 778.051711 90.662775
165 47528.763965 -6.750000 1396.999802 339.000343 3750.000000 -6.750000 -6.750000 8.809585 0.260319 45.000000 45.000000 779.174809 151.231087
166 94152.001408 -7.375000 1800.999657 1008.000011 3750.000000 -7.500000 -7.250000 7.630982 0.438735 90.000000 90.000000 779.125449 91.029595
167 47521.612047 -9.500000 216.000292 586.000166 3750.000000 -9.500000 -9.500000 9.167128 0.095881 45.000000 45.000000 916.368586 -118.410858
168 58055.367679 -10.250000 211.431749 590.938250 10169.500056 -10.250000 -10.250000 1.096401 0.598674 56.000000 56.000000 918.060521 -118.004131
169 48549.636930 -10.250000 211.515125 592.162307 51294.999955 -10.250000 -10.250000 1.122956 0.043760 56.000000 56.000000 917.412761 -117.939080
170 47623.746878 -11.250000 631.000357 1407.999646 3750.000000 -11.250000 -11.250000 9.078942 0.946870 45.000000 45.000000 549.432841 -45.368694
171 47558.426747 -16.250000 1415.999790 1693.999658 3750.000000 -16.250000 -16.250000 9.199097 0.126017 45.000000 45.000000 778.986120 30.383501
172 47552.529588 -16.750000 192.000278 1501.999831 3750.000000 -16.750000 -16.750000 9.193801 0.091620 45.000000 45.000000 958.801010 -59.958636
173 47566.510236 -16.750000 1421.999786 1690.999659 3750.000000 -16.750000 -16.750000 1.533038 0.676436 45.000000 45.000000 779.461592 30.875512
174 47558.535623 -17.500000 195.000278 1506.999829 3750.000000 -17.500000 -17.500000 9.199143 0.091623 45.000000 45.000000 958.724869 -59.610207
175 47551.243668 -20.000000 611.000562 1258.999660 3750.000000 -20.000000 -20.000000 9.195904 0.185158 45.000000 45.000000 474.435851 -60.030432
176 47779.604866 -20.000000 1411.999644 636.000353 3750.000000 -20.000000 -20.000000 9.058004 0.441175 45.000000 45.000000 548.721650 134.704663
177 47555.945087 -20.750000 612.000561 1260.999657 3750.000000 -20.750000 -20.750000 7.630346 1.110468 45.000000 45.000000 474.573889 -59.760945
178 47522.214319 -21.250000 1826.999708 1457.999834 3750.000000 -21.250000 -21.250000 9.167609 0.095973 45.000000 45.000000 915.489151 61.559365
179 47354.134581 -22.000000 168.000296 1356.999878 3750.000000 -22.000000 -22.000000 9.046339 0.095872 45.000000 45.000000 917.355118 -68.581330
180 47072.106778 -22.000000 1832.000255 1452.999928 7501.255849 -22.000000 -22.000000 0.999551 0.062416 56.000000 56.000000 917.530028 61.982624
181 47123.845878 -22.000000 1830.999729 1451.999983 7502.797958 -22.000000 -22.000000 0.999644 0.062558 56.000000 56.000000 916.177137 62.008437
182 47552.310797 -26.250000 1431.999438 785.000341 3750.000000 -26.250000 -26.250000 9.195525 0.185496 45.000000 45.000000 473.569823 120.030006
183 47556.987538 -27.000000 1430.999438 783.000345 3750.000000 -27.000000 -27.000000 1.533138 1.112548 45.000000 45.000000 473.710223 120.299967
184 47076.000695 -28.500000 106.000289 1056.999981 3750.000000 -28.500000 -28.500000 8.148339 0.472300 45.000000 45.000000 916.668134 -87.811816
185 47075.998275 -29.250000 106.000289 1061.999979 3750.000000 -29.250000 -29.250000 8.051964 0.510213 45.000000 45.000000 916.872657 -87.499590
186 47553.053864 -29.250000 1850.999722 542.000169 3750.000000 -29.250000 -29.250000 9.196722 0.091702 45.000000 45.000000 957.935476 120.071307
187 47558.535740 -30.250000 1848.999722 537.000171 3750.000000 -30.250000 -30.250000 9.199143 0.091623 45.000000 45.000000 958.724869 120.389793
188 42498.593446 -32.000000 69.000332 913.000037 3750.000000 -32.000000 -32.000000 1.348222 0.080532 45.000000 45.000000 959.212886 -96.524889
