%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta
-172599.93440  61599.97720     15.80843    101.67161    209.00000      4.00000     70.35879     10.38495
158899.77680  91599.96500     16.42102    129.39496    210.00000      4.00000    -60.03811     10.39318
159399.94180  90799.96520     17.04655    102.74876    211.00000      4.00000    -60.33260     10.39518
-183399.94160   2399.99860     23.33252    107.31888    212.00000      4.00000     89.25026     10.39342
 76399.97140 166799.94140     24.01563     80.33675    213.00000      4.00000    -24.60937     10.39612
-182999.94160   3199.99820     24.08219    107.31709    214.00000      4.00000     88.99821     10.37193
172799.93440 -61599.97720     27.05811    101.67576    215.00000      4.00000   -109.62021     10.39540
-115599.95820 -142399.95120     29.27523     92.36711    216.00000      4.00000    140.93039     10.39339
-15199.99280 182799.94380     31.00911     46.75201    217.00000      4.00000      4.75326     10.39426
183399.94160  -2199.99880     33.83228    107.31938    218.00000      4.00000    -90.68727     10.39328
-14799.99280 182999.94380     34.25903     46.32304    219.00000      4.00000      4.62369     10.40350
183399.94160  -3199.99820     34.58187    107.31648    220.00000      4.00000    -90.99961     10.39410
-118718.14580 139577.31560     36.77670     44.56208    221.00000      4.00000     40.38298     10.38352
-118912.96820 139602.65660     36.77669    115.40314    222.00000      4.00000     40.42422     10.39159
-118199.95800 140199.95280     37.77645     93.06121    223.00000      4.00000     40.13361     10.39130
-127199.95780 -132199.95680     43.02938     95.35108    224.00000      4.00000    136.10425     10.39574
-127599.95780 -131799.95680     43.52954     95.45268    225.00000      4.00000    135.92761     10.39519
119099.95820 -139599.95320     52.65137    117.53156    226.00000      4.00000   -139.53079     10.39820
118399.95820 -140199.95280     53.77612     93.09166    227.00000      4.00000   -139.81865     10.39845
-179199.94480 -38099.98880     56.19267    134.24389    228.00000      4.00000    102.00302     10.38177
-179399.94500 -37799.98740     56.81779    106.56571    229.00000      4.00000    101.89831     10.38917
127199.95780 132199.95680     58.02970     95.35107    230.00000      4.00000    -43.89575     10.39574
127999.95780 131799.95700     58.52987     95.50362    231.00000      4.00000    -44.16202     10.41062
179398.67120  38097.18820     66.81799    134.05389    232.00000      4.00000    -78.01075     10.39251
179458.22760  38173.68660     66.81796     27.05619    233.00000      4.00000    -77.99124     10.39662
179599.94500  37799.98740     67.31812    106.56688    234.00000      4.00000    -78.11456     10.40002
-154199.94300  98999.96140     80.29321    101.68935    235.00000      4.00000     57.29859     10.38394
-154199.94180  99199.96320     81.04313     97.90451    236.00000      4.00000     57.24600     10.38994
-144199.95000 -113399.95820     81.28703     99.42716    237.00000      4.00000    128.18178     10.39522
-178799.94460  39799.98700     81.56730    106.48922    238.00000      4.00000     77.45084     10.38014
178999.94460 -39799.98700     92.31698    106.49056    239.00000      4.00000   -102.53559     10.39096
154399.94300 -98999.96160     92.54289    101.70163    240.00000      4.00000   -122.66766     10.39327
154399.94320 -99199.96140     93.54281    101.68195    241.00000      4.00000   -122.72022     10.39926
144399.94980 113399.95820     94.53735     99.44443    242.00000      4.00000    -51.85680     10.40393
-179799.94540 -35399.98800    107.81877    134.37782    243.00000      4.00000    101.13824     10.38433
-179599.94520 -35999.98780    108.31852    106.62925    244.00000      4.00000    101.33447     10.37994
-129799.95720 -129399.95740    117.78052     96.02735    245.00000      4.00000    134.91158     10.38603
-129399.95740 -129999.95720    118.03027     95.90365    246.00000      4.00000    135.13253     10.39388
179999.94540  35399.98800    118.31909    134.37908    247.00000      4.00000    -78.87383     10.39521
179999.94540  35999.98780    118.81885    106.63133    248.00000      4.00000    -78.69007     10.40168
-115499.95800 142299.95120    119.40059    116.32735    249.00000      4.00000     39.06505     10.38559
-115999.95800 141999.95140    120.52572     92.48337    250.00000      4.00000     39.24543     10.39020
 15399.99260 -182799.94380    126.00879     46.95522    251.00000      4.00000   -175.18448     10.39519
 14999.99280 -182999.94380    130.75871     46.52990    252.00000      4.00000   -175.31410     10.40440
129999.95740 129399.95740    132.53084     96.05171    253.00000      4.00000    -45.13253     10.39388
129599.95740 129999.95740    132.78060     95.92824    254.00000      4.00000    -44.91172     10.40170
115794.07480 -142325.22980    135.77526    111.06197    255.00000      4.00000   -140.86862     10.39696
115828.74740 -142118.69960    135.77534     60.22137    256.00000      4.00000   -140.81948     10.38930
116199.95820 -141999.95160    136.77539     92.51505    257.00000      4.00000   -140.70620     10.39722
-182999.94240   7999.99580    140.33024    107.35729    258.00000      4.00000     87.49686     10.38007
-182999.94200   6999.99620    141.08065    107.29623    259.00000      4.00000     87.80943     10.37780
-170599.94080  66999.97560    146.80623    104.99226    260.00000      4.00000     68.55850     10.38617
183199.94220  -7799.99580    150.83000    107.28962    261.00000      4.00000    -92.43798     10.39066
183199.94220  -6999.99620    151.58032    107.29598    262.00000      4.00000    -92.18818     10.38887
-81999.96920 -163999.94160    152.01644     82.29725    263.00000      4.00000    153.43495     10.39020
-161716.30560 -85903.84380    158.04822     66.27339    264.00000      4.00000    117.97728     10.37683
-161924.58800 -86127.86820    158.04813    124.14410    265.00000      4.00000    118.00856     10.39286
170799.94100 -66999.97560    158.05591    104.99699    266.00000      4.00000   -111.41867     10.39649
-160999.94160 -87199.96680    158.79769    103.14059    267.00000      4.00000    118.44064     10.37580
162073.29140  86067.45360    169.79848    128.60878    268.00000      4.00000    -62.02990     10.39857
162274.95240  86273.52940    169.79839     69.57087    269.00000      4.00000    -62.00264     10.41380
161199.94160  87199.96680    170.54801    103.14956    270.00000      4.00000    -61.58914     10.38555
 82199.96900 163999.94160    175.01676     82.35135    271.00000      4.00000    -26.62092     10.39516
-76199.97160 166799.94140    179.26563     80.27801    272.00000      4.00000     24.55256     10.39151
-168599.94420 -91199.96820   -168.70394    103.17574    273.00000      5.00000    118.41008     10.85115
-167799.94420 -92399.96780   -167.95443    103.04144    274.00000      5.00000    118.83962     10.84411
168799.94180  91399.96900   -156.20369     99.39640    275.00000      5.00000    -61.56582     10.86613
167999.94420  92399.96780   -155.45410    103.05027    276.00000      5.00000    -61.18921     10.85380
-189799.94800  27199.99080   -153.67757    106.98554    277.00000      5.00000     81.84454     10.85410
189999.94840 -27199.99020   -142.67790    107.07638    278.00000      5.00000    -98.14699     10.86505
-71623.63100 178189.03540   -104.96101     80.52184    279.00000      5.00000     21.89781     10.87101
-71489.63000 177988.11360   -104.73893    100.02289    280.00000      5.00000     21.88306     10.85795
-141799.95720 -128799.95980   -101.21924     97.47960    281.00000      5.00000    132.24955     10.84441
-191199.94500 -10199.99520    -98.42098    107.29873    282.00000      5.00000     93.05368     10.83934
-191399.94560 -10199.99500    -97.67098    107.29365    283.00000      5.00000     93.05049     10.85037
191599.93340  10199.99660    -87.67065    103.70136    284.00000      5.00000    -86.95268     10.86141
191599.93340  10199.99660    -86.92065    103.70136    285.00000      5.00000    -86.95268     10.86141
141999.95720 128799.96000    -86.46891     97.50010    286.00000      5.00000    -47.79064     10.85260
 71599.30160 -178100.91820    -76.36547     97.20996    287.00000      5.00000   -158.09912     10.86599
 71798.74740 -177999.83620    -76.23926     77.67758    288.00000      5.00000   -158.03262     10.86493
-190399.93360  21799.99260    -42.92537    103.52561    289.00000      5.00000     83.46832     10.84884
190599.93360 -21799.99260    -31.92570    103.52576    290.00000      5.00000    -96.52489     10.85983
-165399.94440 -96999.96580    -30.20630    102.53441    291.00000      5.00000    120.38979     10.85443
-165799.94440 -95999.96620    -29.20589    102.64153    292.00000      5.00000    120.07131     10.84571
165399.94440  96999.96580    -17.45597    102.53441    293.00000      5.00000    -59.61021     10.85443
165999.94440  95999.96620    -16.70557    102.65123    294.00000      5.00000    -59.95864     10.85527
-168599.94420  91399.96820     11.29631    103.15927    295.00000      5.00000     61.53737     10.85642
-167799.94420  92399.96780     12.04590    103.04144    296.00000      5.00000     61.16038     10.84411
168799.94420 -91199.96840     23.79606    103.18427    297.00000      5.00000   -118.38166     10.86087
167999.94420 -92399.96780     24.54557    103.05027    298.00000      5.00000   -118.81079     10.85380
-189799.94800 -27199.99020     26.32210    106.98589    299.00000      5.00000     98.15546     10.85410
189999.94800  27199.99020     37.32243    106.98632    300.00000      5.00000    -81.85301     10.86505
-71380.57720 -178174.79380     75.06690     84.18767    301.00000      5.00000    158.16792     10.86528
-71517.38740 -177966.24120     75.26076     96.37181    302.00000      5.00000    158.10681     10.85740
-141799.95720 128799.95980     78.78109     97.47960    303.00000      5.00000     47.75045     10.84441
-191399.94500  10199.99520     81.57935    107.29851    304.00000      5.00000     86.94951     10.85037
-191399.94500  10199.99520     82.32935    107.29851    305.00000      5.00000     86.94951     10.85037
191399.94500 -10199.99520     92.32902    107.29851    306.00000      5.00000    -93.05049     10.85037
191599.94520 -10199.99520     93.07902    107.29829    307.00000      5.00000    -93.04732     10.86141
141999.95720 -128799.95980     93.53076     97.50010    308.00000      5.00000   -132.20936     10.85260
 71814.71140 178185.18180    103.54738     81.62754    309.00000      5.00000    -21.95112     10.87476
 71683.00900 177991.92320    103.76107     94.79740    310.00000      5.00000    -21.93621     10.86213
-190399.94740 -21799.99140    137.07430    107.11643    311.00000      5.00000     96.53168     10.84885
190599.94740  21799.99140    148.07463    107.11660    312.00000      5.00000    -83.47511     10.85983
-165199.94440  96999.96580    149.79403    102.52445    313.00000      5.00000     59.57995     10.84490
