SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) Radius(px) Theta(degrees) Eta(degrees) DeltaOmega NImgs RingNr GrainVolume GrainRadius PowderIntensity SigmaR SigmaEta NrPx NrPxTot
110.000000 95252.256114 52.625000 426.500209 324.000234 3750.000000 52.500000 52.750000 917.834094 5.200900 -139.507041 0.500000 2.000000 4.000000 6800675.791479 117.531556 4740.838162 9.160332 0.544511 90.000000 90.000000
111.000000 47290.401046 50.750000 1757.999652 1276.999876 3750.000000 50.750000 50.750000 778.922605 4.427311 70.890467 0.250000 1.000000 3.000000 4939049.337922 105.645642 2361.430926 8.793512 0.660462 45.000000 45.000000
112.000000 47939.790049 50.000000 1758.999132 1274.991319 7620.892126 50.000000 50.000000 779.212633 4.428934 71.054078 0.250000 1.000000 3.000000 5011795.901635 106.161796 2361.430926 1.000494 0.073614 52.000000 52.000000
113.000000 46250.618276 50.000000 1758.999906 1273.990548 7382.143789 50.000000 50.000000 778.889016 4.427124 71.123726 0.250000 1.000000 3.000000 4837230.498738 104.914631 2361.430926 0.999497 0.073420 52.000000 52.000000
114.000000 47623.878748 43.500000 1659.999789 363.000216 3750.000000 43.500000 43.500000 917.237399 5.197593 135.927607 0.250000 1.000000 4.000000 3642947.661507 95.452676 4740.838162 7.923523 0.394506 45.000000 45.000000
115.000000 47623.940359 43.000000 1657.999789 361.000216 3750.000000 43.000000 43.000000 917.287548 5.197871 136.104254 0.250000 1.000000 4.000000 3631327.324708 95.351076 4740.838162 9.075305 0.485795 45.000000 45.000000
116.000000 47387.768472 41.500000 515.000491 1233.999782 3750.000000 41.500000 41.500000 549.538360 3.136036 -67.307955 0.250000 1.000000 2.000000 4854612.879348 105.040150 1177.064788 9.078656 0.945426 45.000000 45.000000
117.000000 42498.586163 41.000000 517.000535 1235.999779 3750.000000 41.000000 41.000000 548.470934 3.129993 -67.034596 0.250000 1.000000 2.000000 4345031.348373 101.228181 1177.064788 1.641954 0.243316 45.000000 45.000000
118.000000 42498.597027 41.000000 1610.999694 512.000264 3750.000000 41.000000 41.000000 779.115120 4.428388 130.888449 0.250000 1.000000 3.000000 3550918.822561 94.642030 2361.430926 1.348222 0.099148 45.000000 45.000000
119.000000 47626.268311 37.750000 1612.999790 1722.999764 3750.000000 37.750000 37.750000 916.886809 5.195649 40.133612 0.250000 1.000000 4.000000 3375939.220151 93.061205 4740.838162 9.165549 0.572748 45.000000 45.000000
