%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta OmegaIni(NoWedgeCorr) YOrig(NoWedgeCorr) ZOrig(NoWedgeCorr) YOrig(DetCor) ZOrig(DetCor) OmegaOrig(DetCor) IntegratedIntensity(count)
120399.94340  99199.95080    134.29313     98.98487    135.00000      3.00000    -50.51420      8.86682    134.29313 120399.94340  99199.95080    420.00028   1517.99975    134.29313  47626.36201
-79799.95740 -133799.93180    163.27873     86.30156    136.00000      3.00000    149.18762      8.85492    163.27873 -79799.95740 -133799.93180   1420.99979    353.00034    163.27873  47565.50084
-78799.95800 -134399.93160    163.77848     85.93376    137.00000      3.00000    149.61650      8.85533    163.77848 -78799.95800 -134399.93160   1415.99979    350.00034    163.77848  47558.42485
-155699.93120   2799.99800    172.70736    135.43251    138.00000      3.00000     88.96974      8.85130    172.70736 -155699.93120   2799.99800   1800.49966   1035.99999    172.70736  94152.00005
-74999.96040 136599.93140    173.27791     84.50457    139.00000      3.00000     28.76891      8.85744    173.27791 -74999.96040 136599.93140   1396.99980   1704.99966    173.27791  47528.76533
-155599.91740   1799.99900    173.33276    103.76712    140.00000      3.00000     89.33722      8.84488    173.33276 -155599.91740   1799.99900   1799.99959   1030.99999    173.33276  42344.64801
-75799.96000 136199.93140    174.02808     84.80115    141.00000      3.00000     29.09745      8.85951    174.02808 -75799.96000 136199.93140   1400.99980   1702.99966    174.02808  47535.15845
-158699.94120  91599.96480   -175.57878    129.31118    142.00000      4.00000     60.00690     10.38358   -175.57878 -158699.94120  91599.96480   1815.49971   1479.99982   -175.57878  95103.36199
-159199.94180  90799.96520   -174.95345    102.73888    143.00000      4.00000     60.30165     10.38555   -174.95345 -159199.94180  90799.96520   1817.99971   1475.99983   -174.95345  47546.39685
-172599.94080 -61599.97800   -164.19189    105.36868    144.00000      4.00000    109.64121     10.38495   -164.19189 -172599.94080 -61599.97800   1884.99970    714.00011   -164.19189  47305.33390
158999.94200 -91599.96480   -163.57910    129.33690    145.00000      4.00000   -119.94627     10.39799   -163.57910 158999.94200 -91599.96480    227.00029    564.00018   -163.57910  95101.70063
159399.94180 -90799.96520   -162.95378    102.74876    146.00000      4.00000   -119.66740     10.39518   -162.95378 159399.94180 -90799.96520    225.00029    568.00017   -162.95378  47545.83504
-183199.94160  -2199.99880   -156.66772    107.31969    147.00000      4.00000     90.68802     10.38220   -156.66772 -183199.94160  -2199.99880   1937.99971   1011.00001   -156.66772  47075.99972
 76399.97140 -166799.94140   -155.98470     80.33675    148.00000      4.00000   -155.39063     10.39612   -155.98470  76399.97140 -166799.94140    640.00014    188.00029   -155.98470  47436.04596
-183199.94160  -3199.99820   -155.91813    107.31673    149.00000      4.00000     91.00070     10.38301   -155.91813 -183199.94160  -3199.99820   1937.99971   1006.00001   -155.91813  47075.92855
172799.94100  61599.97820   -152.94157    105.48838    150.00000      4.00000    -70.37979     10.39540   -152.94157 172799.94100  61599.97820    158.00029   1329.99989   -152.94157  47460.91794
-15199.99280 -182799.94380   -148.99121     46.75196    151.00000      4.00000    175.24674     10.39426   -148.99121 -15199.99280 -182799.94380   1097.99996    108.00028   -148.99121  47075.85326
183599.94180   2399.99860   -146.16748    107.31857    152.00000      4.00000    -89.25108     10.40451   -146.16748 183599.94180   2399.99860    104.00029   1033.99999   -146.16748  47075.99970
-14799.99280 -182999.94380   -145.74129     46.32304    153.00000      4.00000    175.37631     10.40350   -145.74129 -14799.99280 -182999.94380   1095.99996    107.00028   -145.74129  47075.99970
183199.94160   3199.99820   -145.41781    107.31829    154.00000      4.00000    -88.99930     10.38301   -145.41781 183199.94160   3199.99820    106.00029   1037.99999   -145.41781  47077.98445
-118999.20940 -139599.89640   -143.22363     93.13760    155.00000      4.00000    139.55471     10.39458   -143.22363 -118999.20940 -139599.89640   1616.99605    324.00052   -143.22363  47438.27868
-118799.23320 -139600.03960   -143.22363     92.65720    156.00000      4.00000    139.60231     10.38739   -143.22363 -118799.23320 -139600.03960   1615.99617    323.99980   -143.22363  46753.31577
